"Time","Position","Velocity","Acceleration"
0.02000,0.026,0.001,0.046
0.04000,0.026,0.002,0.040
0.06000,0.026,0.004,-0.016
0.08000,0.027,0.001,-0.092
0.10000,0.026,0.000,-0.182
0.12000,0.027,-0.004,-0.313
0.14000,0.026,-0.013,-0.336
0.16000,0.026,-0.030,0.136
0.18000,0.024,-0.008,0.583
0.20000,0.026,0.016,0.121
0.22000,0.026,-0.013,0.021
0.24000,0.024,0.003,0.421
0.26000,0.026,0.022,0.071
0.28000,0.026,0.009,-0.393
0.30000,0.026,-0.001,-0.546
0.32000,0.026,-0.025,-0.132
0.34000,0.024,-0.007,0.362
0.36000,0.026,0.002,0.304
0.38000,0.025,0.003,0.217
0.40000,0.026,0.017,-0.186
0.42000,0.026,0.000,-0.631
0.44000,0.026,-0.025,-0.321
0.46000,0.024,-0.026,0.509
0.48000,0.024,0.015,0.524
0.50000,0.026,0.004,0.051
0.52000,0.024,0.006,-0.062
0.54000,0.026,0.014,-0.599
0.56000,0.026,-0.030,-0.495
0.58000,0.024,-0.028,0.544
0.60000,0.024,0.007,0.890
0.62000,0.025,0.030,0.185
0.64000,0.026,0.021,-0.838
0.66000,0.026,-0.025,-0.866
0.68000,0.024,-0.033,0.012
0.70000,0.024,-0.012,0.414
0.72000,0.024,-0.006,0.336
0.74000,0.024,0.000,0.225
0.76000,0.024,0.003,0.091
0.78000,0.024,0.002,0.084
0.80000,0.024,0.004,0.178
0.82000,0.024,0.010,0.168
0.84000,0.024,0.020,-0.189
0.86000,0.026,-0.001,-0.383
0.88000,0.024,-0.015,0.189
0.90000,0.024,0.024,0.071
0.92000,0.027,0.002,-0.601
0.94000,0.024,-0.026,-0.230
0.96000,0.024,-0.009,0.247
0.98000,0.024,-0.003,0.237
1.00000,0.024,0.000,0.210
1.02000,0.024,0.003,0.222
1.04000,0.024,0.008,0.223
1.06000,0.024,0.024,-0.251
1.08000,0.026,-0.001,-0.711
1.10000,0.024,-0.027,-0.205
1.12000,0.024,-0.008,0.301
1.14000,0.024,0.000,0.199
1.16000,0.024,-0.002,0.110
1.18000,0.024,0.000,0.184
1.20000,0.024,0.005,0.292
1.22000,0.024,0.008,0.455
1.24000,0.024,0.032,0.205
1.26000,0.026,0.030,-0.550
1.28000,0.026,-0.012,-0.359
1.30000,0.024,0.003,0.348
1.32000,0.026,0.025,0.116
1.34000,0.026,0.011,-0.291
1.36000,0.027,0.003,-0.286
1.38000,0.026,-0.003,-0.102
1.40000,0.026,0.000,0.051
1.42000,0.026,0.003,0.025
1.44000,0.027,0.001,-0.006
1.46000,0.026,-0.001,0.088
1.48000,0.026,0.007,0.065
1.50000,0.027,0.005,-0.084
1.52000,0.027,-0.001,-0.046
1.54000,0.027,0.003,0.005
1.56000,0.027,0.001,-0.002
1.58000,0.027,0.002,0.042
1.60000,0.027,0.004,0.020
1.62000,0.027,0.002,-0.003
1.64000,0.027,0.004,-0.032
1.66000,0.027,0.001,-0.064
1.68000,0.027,0.000,-0.041
1.70000,0.027,0.000,-0.044
1.72000,0.027,-0.001,-0.064
1.74000,0.027,-0.002,-0.085
1.76000,0.027,-0.007,0.021
1.78000,0.027,-0.002,0.133
1.80000,0.027,0.002,0.073
1.82000,0.027,-0.001,0.073
1.84000,0.027,0.005,0.062
1.86000,0.027,0.006,-0.121
1.88000,0.027,-0.003,-0.152
1.90000,0.027,-0.006,0.082
1.92000,0.027,0.003,0.183
1.94000,0.027,0.008,0.014
1.96000,0.027,0.002,-0.115
1.98000,0.027,-0.002,-0.055
2.00000,0.027,0.003,-0.087
2.02000,0.028,-0.006,-0.066
2.04000,0.026,-0.004,0.089
2.06000,0.027,0.009,-0.209
2.08000,0.027,-0.007,-0.615
2.10000,0.027,-0.042,0.067
2.12000,0.024,-0.012,1.029
2.14000,0.027,0.034,0.471
2.16000,0.027,0.012,-0.455
2.18000,0.027,0.002,-0.798
2.20000,0.027,-0.020,-0.889
2.22000,0.026,-0.054,-0.049
2.24000,0.024,-0.030,0.998
2.26000,0.024,0.024,0.410
2.28000,0.027,-0.005,-0.589
2.30000,0.024,-0.033,-0.221
2.32000,0.024,-0.015,0.315
2.34000,0.024,-0.007,0.368
2.36000,0.024,0.002,0.221
2.38000,0.024,0.001,0.034
2.40000,0.024,0.001,-0.039
2.42000,0.024,0.002,-0.154
2.44000,0.024,-0.006,-0.142
2.46000,0.024,-0.012,0.259
2.48000,0.024,0.000,0.811
2.50000,0.024,0.026,1.049
2.52000,0.024,0.057,0.570
2.54000,0.027,0.055,-0.192
2.56000,0.027,0.032,-0.204
2.58000,0.027,0.035,0.250
2.60000,0.028,0.062,-0.098
2.62000,0.031,0.043,-0.912
2.64000,0.030,0.003,-0.794
2.66000,0.030,0.002,-0.212
2.68000,0.030,0.005,-0.029
2.70000,0.030,0.008,-0.244
2.72000,0.031,-0.003,-0.595
2.74000,0.030,-0.019,-0.730
2.76000,0.030,-0.042,-0.350
2.78000,0.028,-0.042,0.412
2.80000,0.028,-0.016,0.714
2.82000,0.028,-0.003,0.504
2.84000,0.028,0.005,0.210
2.86000,0.028,0.005,-0.032
2.88000,0.028,0.000,-0.094
2.90000,0.028,-0.003,0.083
2.92000,0.028,0.002,0.371
2.94000,0.028,0.011,0.615
2.96000,0.028,0.036,0.368
2.98000,0.030,0.038,-0.498
3.00000,0.030,0.009,-1.079
3.02000,0.030,-0.011,-1.305
3.04000,0.030,-0.049,-1.071
3.06000,0.028,-0.069,-0.070
3.08000,0.027,-0.060,1.176
3.10000,0.024,-0.001,1.366
3.12000,0.027,0.029,-0.040
3.14000,0.027,-0.010,-1.139
3.16000,0.027,-0.048,-0.809
3.18000,0.024,-0.052,0.079
3.20000,0.024,-0.032,0.476
3.22000,0.023,-0.027,0.535
3.24000,0.023,-0.011,0.521
3.26000,0.023,-0.003,0.337
3.28000,0.023,0.001,0.225
3.30000,0.023,0.005,0.159
3.32000,0.023,0.007,0.113
3.34000,0.023,0.009,0.082
3.36000,0.024,0.014,-0.079
3.38000,0.024,0.006,-0.246
3.40000,0.024,-0.002,-0.176
3.42000,0.024,-0.001,-0.059
3.44000,0.024,-0.002,-0.020
3.46000,0.024,-0.003,0.071
3.48000,0.024,0.001,0.164
3.50000,0.024,0.006,0.134
3.52000,0.024,0.009,-0.007
3.54000,0.024,0.003,-0.079
3.56000,0.024,0.003,-0.029
3.58000,0.024,0.006,-0.120
3.60000,0.024,-0.003,-0.184
3.62000,0.024,-0.005,-0.095
3.64000,0.024,-0.004,-0.082
3.66000,0.024,-0.009,-0.034
3.68000,0.024,-0.006,0.015
3.70000,0.024,-0.004,-0.178
3.72000,0.024,-0.010,-0.511
3.74000,0.024,-0.024,-0.786
3.76000,0.023,-0.053,-0.509
3.78000,0.021,-0.054,0.193
3.80000,0.020,-0.032,0.337
3.82000,0.020,-0.029,0.065
3.84000,0.020,-0.044,0.342
3.86000,0.018,-0.035,1.357
3.88000,0.017,0.042,1.165
3.90000,0.022,0.021,0.157
3.92000,0.016,0.021,-0.149
3.94000,0.020,0.106,-3.848
3.96000,0.029,-0.170,-5.189
3.98000,0.010,-0.273,1.824
4.00000,0.014,-0.128,10.332
4.02000,0.002,0.145,16.829
4.04000,0.009,0.841,8.361
4.06000,0.052,0.753,-12.698
4.08000,0.050,0.147,-24.746
4.10000,0.060,-0.550,-20.776
4.12000,0.022,-0.942,-3.417
4.14000,0.007,-0.595,10.241
4.16000,0.000,-0.266,11.254
4.18000,-0.001,-0.068,7.173
4.20000,-0.001,-0.011,3.749
4.22000,-0.001,0.018,3.658
4.24000,-0.001,0.087,6.008
4.26000,0.000,0.274,7.600
4.28000,0.010,0.462,5.818
4.30000,0.021,0.529,2.752
4.32000,0.032,0.545,0.782
4.34000,0.043,0.538,0.044
4.36000,0.054,0.536,0.071
4.38000,0.065,0.538,0.323
4.40000,0.075,0.547,0.605
4.42000,0.086,0.574,0.361
4.44000,0.099,0.571,-0.303
4.46000,0.109,0.548,-0.410
4.48000,0.120,0.545,-0.055
4.50000,0.131,0.551,0.154
4.52000,0.142,0.552,0.254
4.54000,0.153,0.567,0.028
4.56000,0.165,0.564,-0.645
4.58000,0.176,0.530,-0.798
4.60000,0.186,0.520,-0.371
4.62000,0.197,0.520,-0.091
4.64000,0.207,0.521,-0.001
4.66000,0.218,0.521,-0.004
4.68000,0.228,0.519,-0.032
4.70000,0.238,0.523,-0.246
4.72000,0.249,0.517,-0.701
4.74000,0.260,0.483,-0.572
4.76000,0.268,0.478,0.295
4.78000,0.278,0.505,0.737
4.80000,0.288,0.519,0.589
4.82000,0.299,0.530,0.270
4.84000,0.310,0.529,0.007
4.86000,0.320,0.527,-0.060
4.88000,0.331,0.523,0.064
4.90000,0.341,0.526,0.353
4.92000,0.352,0.537,0.589
4.94000,0.362,0.561,0.285
4.96000,0.375,0.558,-0.418
4.98000,0.385,0.532,-0.606
5.00000,0.395,0.524,-0.344
5.02000,0.406,0.521,-0.129
5.04000,0.416,0.521,-0.023
5.06000,0.426,0.521,0.011
5.08000,0.437,0.522,0.029
5.10000,0.447,0.523,0.033
5.12000,0.458,0.525,-0.032
5.14000,0.468,0.521,-0.101
5.16000,0.479,0.518,-0.053
5.18000,0.489,0.520,-0.026
5.20000,0.500,0.519,-0.065
5.22000,0.510,0.515,0.044
5.24000,0.520,0.515,0.404
5.26000,0.530,0.528,0.798
5.28000,0.541,0.563,0.461
5.30000,0.553,0.560,-0.471
5.32000,0.564,0.529,-0.762
5.34000,0.574,0.518,-0.462
5.36000,0.584,0.513,-0.198
5.38000,0.595,0.511,-0.002
5.40000,0.605,0.515,0.091
5.42000,0.615,0.518,0.029
5.44000,0.626,0.516,-0.043
5.46000,0.636,0.515,-0.027
5.48000,0.646,0.513,0.100
5.50000,0.656,0.514,0.416
5.52000,0.667,0.527,0.762
5.54000,0.677,0.559,0.440
5.56000,0.690,0.559,-0.502
5.58000,0.700,0.526,-0.901
5.60000,0.710,0.510,-0.697
5.62000,0.720,0.499,-0.466
5.64000,0.730,0.497,-0.432
5.66000,0.740,0.487,-0.557
5.68000,0.750,0.460,-0.049
5.70000,0.758,0.471,0.996
5.72000,0.768,0.523,1.009
5.74000,0.780,0.532,0.050
5.76000,0.790,0.511,-0.413
5.78000,0.800,0.503,-0.299
5.80000,0.810,0.501,-0.136
5.82000,0.820,0.500,-0.055
5.84000,0.830,0.500,-0.045
5.86000,0.840,0.497,-0.012
5.88000,0.850,0.500,-0.065
5.90000,0.860,0.500,-0.277
5.92000,0.870,0.488,-0.349
5.94000,0.880,0.469,0.265
5.96000,0.887,0.499,0.789
5.98000,0.900,0.527,0.119
6.00000,0.910,0.505,-0.606
6.02000,0.920,0.488,-0.627
6.04000,0.929,0.463,0.104
6.06000,0.937,0.494,0.776
6.08000,0.949,0.523,0.195
6.10000,0.959,0.499,-0.364
6.12000,0.969,0.492,-0.240
6.14000,0.979,0.491,-0.094
6.16000,0.988,0.490,0.032
6.18000,0.998,0.493,0.089
6.20000,1.008,0.495,0.065
6.22000,1.018,0.497,-0.038
6.24000,1.028,0.494,-0.157
6.26000,1.038,0.489,-0.155
6.28000,1.048,0.486,-0.084
6.30000,1.057,0.484,0.041
6.32000,1.067,0.488,0.137
6.34000,1.077,0.494,0.014
6.36000,1.087,0.489,-0.125
6.38000,1.096,0.486,-0.129
6.40000,1.106,0.482,-0.064
6.42000,1.115,0.483,0.043
6.44000,1.126,0.488,-0.004
6.46000,1.135,0.483,-0.064
6.48000,1.145,0.482,0.005
6.50000,1.154,0.484,0.031
6.52000,1.164,0.483,0.054
6.54000,1.174,0.487,0.048
6.56000,1.184,0.489,-0.100
6.58000,1.193,0.482,-0.204
6.60000,1.203,0.477,-0.155
6.62000,1.212,0.477,-0.128
6.64000,1.222,0.473,-0.119
6.66000,1.231,0.468,0.065
6.68000,1.241,0.476,0.191
6.70000,1.250,0.479,0.128
6.72000,1.260,0.481,0.067
6.74000,1.270,0.483,-0.027
6.76000,1.279,0.478,-0.033
6.78000,1.289,0.480,0.015
6.80000,1.298,0.482,-0.074
6.82000,1.308,0.476,-0.095
6.84000,1.317,0.475,0.032
6.86000,1.327,0.477,0.174
6.88000,1.336,0.485,0.173
6.90000,1.346,0.488,-0.031
6.92000,1.356,0.482,-0.158
6.94000,1.366,0.477,-0.076
6.96000,1.375,0.479,0.009
6.98000,1.385,0.480,-0.007
7.00000,1.394,0.479,-0.061
7.02000,1.404,0.478,-0.123
7.04000,1.413,0.472,-0.134
7.06000,1.423,0.476,-0.526
7.08000,1.432,0.471,-2.044
7.10000,1.442,0.425,-4.827
7.12000,1.452,0.263,-6.685
7.14000,1.453,0.092,-5.425
7.16000,1.453,0.024,-2.868
7.18000,1.453,0.000,-1.158
7.20000,1.453,-0.008,-0.269
7.22000,1.453,-0.005,0.125
7.24000,1.453,0.003,0.157
7.26000,1.453,0.005,0.024
7.28000,1.453,0.002,-0.044
7.30000,1.453,0.001,-0.038
7.32000,1.453,0.002,-0.083
7.34000,1.453,-0.003,-0.071
7.36000,1.453,-0.003,0.053
7.38000,1.453,0.002,0.051
7.40000,1.453,0.000,-0.006
7.42000,1.453,-0.002,0.066
7.44000,1.453,0.004,0.088
7.46000,1.453,0.005,-0.004
7.48000,1.453,0.002,-0.034
7.50000,1.453,0.002,0.005
7.52000,1.453,0.004,-0.017
7.54000,1.453,0.001,-0.052
7.56000,1.453,0.000,-0.032
7.58000,1.453,0.000,-0.015
7.60000,1.453,0.000,-0.006
7.62000,1.453,0.000,-0.015
7.64000,1.453,0.000,-0.028
7.66000,1.453,-0.001,-0.030
7.68000,1.453,-0.003,0.046
7.70000,1.453,0.000,0.125
7.72000,1.453,0.005,0.066
7.74000,1.453,0.005,-0.062
7.76000,1.453,0.000,-0.113
7.78000,1.453,-0.003,-0.029
7.80000,1.453,0.000,0.046
7.82000,1.453,0.002,-0.023
7.84000,1.453,-0.003,-0.049
7.86000,1.453,-0.001,-0.012
7.88000,1.453,-0.002,-0.031
7.90000,1.453,-0.004,0.013
7.92000,1.453,-0.001,0.058
7.94000,1.453,0.000,0.064
7.96000,1.453,0.001,0.086
7.98000,1.453,0.003,0.099
8.00000,1.453,0.008,-0.026
8.02000,1.454,0.003,-0.210
8.04000,1.453,-0.006,-0.128
8.06000,1.453,-0.005,0.083
8.08000,1.453,0.002,0.091
8.10000,1.453,0.001,0.009
8.12000,1.453,0.000,-0.011
8.14000,1.453,0.000,-0.012
8.16000,1.453,0.000,-0.010
8.18000,1.453,0.000,-0.033
8.20000,1.453,-0.001,-0.079
8.22000,1.453,-0.003,-0.132
8.24000,1.453,-0.009,-0.066
8.26000,1.453,-0.006,0.049
8.28000,1.453,-0.003,0.029
8.30000,1.453,-0.005,-0.003
8.32000,1.453,-0.005,0.031
8.34000,1.453,-0.003,0.004
8.36000,1.453,-0.005,-0.029
8.38000,1.452,-0.004,-0.053
8.40000,1.453,-0.009,-0.011
8.42000,1.452,-0.006,0.096
8.44000,1.452,0.000,0.018
8.46000,1.452,-0.007,0.011
8.48000,1.452,-0.002,0.071
8.50000,1.452,-0.001,0.024
8.52000,1.452,-0.001,-0.007
8.54000,1.452,-0.003,0.034
8.56000,1.452,0.000,0.080
8.58000,1.452,0.003,-0.012
8.60000,1.452,0.000,-0.098
8.62000,1.452,-0.004,-0.044
8.64000,1.452,-0.004,0.085
8.66000,1.452,0.002,0.091
8.68000,1.452,0.001,0.026
8.70000,1.452,0.002,0.020
8.72000,1.452,0.003,-0.039
8.74000,1.452,0.000,-0.082
8.76000,1.452,-0.003,0.011
8.78000,1.452,0.000,0.098
8.80000,1.452,0.004,0.042
8.82000,1.452,0.004,-0.096
8.84000,1.452,-0.003,-0.106
8.86000,1.452,-0.002,-0.034
8.88000,1.452,-0.004,0.031
8.90000,1.452,0.000,0.076
8.92000,1.452,0.002,-0.013
8.94000,1.452,-0.003,-0.030
8.96000,1.452,-0.001,0.034
8.98000,1.452,0.000,0.050
9.00000,1.452,0.001,0.066
9.02000,1.452,0.004,0.032
9.04000,1.452,0.002,0.016
9.06000,1.452,0.003,0.065
9.08000,1.452,0.008,-0.015
9.10000,1.452,0.002,-0.103
9.12000,1.452,0.001,-0.082
9.14000,1.452,0.000,-0.073
9.16000,1.452,-0.002,-0.072
9.18000,1.452,-0.005,-0.021
9.20000,1.452,-0.004,0.082
9.22000,1.452,0.002,0.051
9.24000,1.452,0.000,-0.035
9.26000,1.452,-0.003,0.015
9.28000,1.452,0.000,0.071
9.30000,1.452,0.003,0.001
9.32000,1.452,0.000,-0.067
9.34000,1.452,-0.003,0.003
9.36000,1.452,0.000,0.079
9.38000,1.452,0.003,0.014
9.40000,1.452,0.001,-0.062
9.42000,1.452,-0.001,-0.062
9.44000,1.452,-0.003,0.014
9.46000,1.452,0.000,0.075
9.48000,1.452,0.003,-0.015
9.50000,1.452,0.000,-0.110
9.52000,1.452,-0.005,-0.059
9.54000,1.452,-0.005,0.077
9.56000,1.452,0.000,0.142
9.58000,1.452,0.004,0.062
9.60000,1.452,0.004,-0.078
9.62000,1.452,-0.002,-0.076
9.64000,1.452,-0.001,0.002
9.66000,1.452,0.000,0.014
9.68000,1.452,0.000,0.012
9.70000,1.452,0.000,0.006
9.72000,1.452,0.000,0.015
9.74000,1.452,0.000,0.028
9.76000,1.452,0.001,0.031
9.78000,1.452,0.003,-0.043
9.80000,1.452,0.000,-0.114
9.82000,1.452,-0.004,-0.051
9.84000,1.452,-0.004,0.070
9.86000,1.452,0.002,0.062
9.88000,1.452,0.000,-0.007
9.90000,1.452,-0.002,0.052
9.92000,1.452,0.003,0.057
9.94000,1.452,0.003,-0.046
9.96000,1.452,-0.002,-0.007
9.98000,1.452,0.001,0.135
10.00000,1.452,0.007,0.239
